seed,soil,season,states,info,growth_days,fertilizers,irrigation
Jowar (Sorghum),Sandy loam,Rabi,Karnataka,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; irrigate at booting and grain filling (apply as needed)
Barley,Sandy loam,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Loamy,Kharif,Madhya Pradesh,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal (apply as needed)",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Sandy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Water at branching, flowering, pod formation"
Sunflower,Sandy loam,Rabi,Andhra Pradesh,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering (apply as needed)","Irrigate at seedling, flowering, seed filling - follow local extension recommendations"
Potato,Alluvial,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking - follow local extension recommendations"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation (apply as needed)"
Tomato,Loamy,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 6–8 days (apply as needed)
Brinjal,Sandy loam,Annual,Bihar,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Irrigate every 7–10 days (apply as needed)
Cabbage,Sandy loam,Rabi,UP,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Water every 10–12 days
Cauliflower,Sandy loam,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Water every 8–10 days
Chilli,Sandy loam,Rabi,Karnataka,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering - follow local extension recommendations",Irrigate every 7–10 days (apply as needed)
Carrot,Sandy loam,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days
Radish,Loamy,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS (apply as needed)",Irrigate every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal (apply as needed)",Water every 5–7 days
Lentil,Sandy loam,Rabi,UP,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal - follow local extension recommendations","Usually rainfed, one irrigation at flowering - follow local extension recommendations"
Gram (Chickpea),Loamy,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal - follow local extension recommendations",One irrigation at pod formation - follow local extension recommendations
Turmeric,Alluvial,Kharif,Odisha,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days
Ginger,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Loamy,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Irrigate every 10–12 days
Cardamom,Forest soil,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal - follow local extension recommendations",Regular irrigation in dry months (apply as needed)
Banana,Loamy,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,UP,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Papaya,Loamy,Annual,Gujarat,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days (apply as needed)
Guava,Sandy loam,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Irrigate young plants, flowering, fruiting - follow local extension recommendations"
Apple,Sandy loam,Rabi,Himachal Pradesh,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate during fruit set and dry periods - follow local extension recommendations
Grapes,Sandy loam,Annual,Karnataka,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days
Pineapple,Laterite,Annual,Meghalaya,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Water every 10–15 days
Watermelon,Sandy loam,Kharif,UP,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set",Irrigate weekly until fruiting (apply as needed)
Muskmelon,Loamy,Summer,Rajasthan,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Water at 7–10 day intervals
Pomegranate,Loamy,Perennial,Karnataka,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual",Water at flowering and fruiting
Coconut,Coastal soil,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Water every 15–20 days
Tea,Laterite,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular,Irrigate in dry months
Coffee,Loamy,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers (apply as needed)",Irrigate in dry season - follow local extension recommendations
Tobacco,Sandy loam,Kharif,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Jute,Alluvial,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Water if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering (apply as needed)",Irrigate at boll formation
Sesame,Sandy loam,Rabi,Rajasthan,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering - follow local extension recommendations"
Castor,Black soil,Kharif,Rajasthan,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal - follow local extension recommendations,Water at flowering and capsule formation
Safflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering - follow local extension recommendations","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Loamy,Rabi,UP,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal - follow local extension recommendations,Irrigate once at flowering
Peas,Sandy loam,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Water at flowering and pod filling
Rice,Clay,Rabi,Andhra Pradesh,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Loamy,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling"
Maize,Sandy loam,Rabi,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling (apply as needed)","Water at knee-high, tasseling, grain filling"
Sugarcane,Alluvial,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal - follow local extension recommendations","Irrigate every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering (apply as needed)",Irrigate every 7–12 days during boll formation
Pulses (Tur/Arhar),Black soil,Kharif,Maharashtra,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry
Groundnut,Red soil,Kharif,Tamil Nadu,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Irrigate at pegging and pod development (apply as needed)
Bajra (Pearl Millet),Sandy,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Black soil,Rabi,Maharashtra,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal,Rainfed; water at booting and grain filling
Barley,Loamy,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering (apply as needed),"2–3 irrigations: tillering, booting, grain filling (apply as needed)"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal (apply as needed)",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Loamy,Rabi,Haryana,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation (apply as needed)"
Sunflower,Loamy,Kharif,Karnataka,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling (apply as needed)"
Potato,Alluvial,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking (apply as needed)"
Onion,Sandy loam,Rabi,Karnataka,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation"
Tomato,Sandy loam,Rabi,Maharashtra,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 6–8 days - follow local extension recommendations
Brinjal,Sandy loam,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Irrigate every 7–10 days
Cabbage,Sandy loam,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal - follow local extension recommendations",Water every 10–12 days
Cauliflower,Sandy loam,Rabi,UP,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash (apply as needed)",Irrigate every 8–10 days (apply as needed)
Chilli,Sandy loam,Rabi,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days - follow local extension recommendations
Carrot,Loamy,Rabi,Haryana,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Spinach,Loamy,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal",Irrigate every 5–7 days (apply as needed)
Lentil,Loamy,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal (apply as needed)","Usually rainfed, one irrigation at flowering (apply as needed)"
Gram (Chickpea),Loamy,Rabi,UP,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal",One irrigation at pod formation
Turmeric,Alluvial,Kharif,Kerala,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits",Irrigate every 10–15 days - follow local extension recommendations
Ginger,Loamy,Kharif,Kerala,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Black Pepper,Laterite,Perennial,Kerala,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal - follow local extension recommendations",Irrigate every 10–12 days
Cardamom,Loamy,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal - follow local extension recommendations",Regular irrigation in dry months
Banana,Loamy,Annual,Tamil Nadu,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Irrigate every 7–10 days
Mango,Alluvial,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set (apply as needed)","Irrigate young plants, flowering, fruiting (apply as needed)"
Papaya,Loamy,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days
Guava,Loamy,Perennial,Bihar,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual (apply as needed)","Water young plants, flowering, fruiting"
Apple,Loamy,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits - follow local extension recommendations",Water during fruit set and dry periods
Grapes,Loamy,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Sandy loam,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Water every 10–15 days
Watermelon,Loamy,Kharif,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set (apply as needed)",Irrigate weekly until fruiting
Muskmelon,Loamy,Summer,Punjab,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set",Irrigate at 7–10 day intervals - follow local extension recommendations
Pomegranate,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual - follow local extension recommendations",Irrigate at flowering and fruiting - follow local extension recommendations
Coconut,Sandy loam,Perennial,Tamil Nadu,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days
Tea,Loamy,Perennial,Assam,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months - follow local extension recommendations
Coffee,Laterite,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season
Rubber,Laterite,Perennial,Tamil Nadu,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers",Irrigate in dry season
Tobacco,Alluvial,Rabi,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing - follow local extension recommendations",Irrigate every 7–10 days - follow local extension recommendations
Jute,Sandy loam,Kharif,Bihar,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal,Irrigate if rainfall is insufficient (apply as needed)
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering",Water at boll formation
Sesame,Alluvial,Rabi,Rajasthan,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, irrigate at flowering (apply as needed)"
Castor,Black soil,Kharif,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal,Irrigate at flowering and capsule formation
Safflower,Sandy loam,Rabi,Karnataka,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Irrigate once at flowering
Peas,Loamy,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen (apply as needed)",Water at flowering and pod filling
Rice,Clay,Kharif,Assam,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Irrigate every 7–10 days
Wheat,Loamy,Rabi,Uttar Pradesh,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling (apply as needed)"
Maize,Sandy loam,Rabi,Bihar,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling (apply as needed)","Irrigate at knee-high, tasseling, grain filling"
Sugarcane,Alluvial,Annual,Maharashtra,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal","Irrigate every 7–12 days in summer, 15–20 in winter (apply as needed)"
Cotton,Black soil,Kharif,Maharashtra,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Irrigate every 7–12 days during boll formation
Pulses (Tur/Arhar),Sandy loam,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen - follow local extension recommendations",One irrigation at flowering if dry (apply as needed)
Groundnut,Red soil,Kharif,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal",Irrigate at pegging and pod development - follow local extension recommendations
Bajra (Pearl Millet),Sandy,Kharif,Rajasthan,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs - follow local extension recommendations",Usually rainfed; 1–2 irrigations if dry (apply as needed)
Jowar (Sorghum),Black soil,Kharif,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal (apply as needed),Rainfed; irrigate at booting and grain filling
Barley,Loamy,Rabi,Rajasthan,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling - follow local extension recommendations"
Soybean,Black,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal (apply as needed)",Irrigate at pod initiation and seed filling (apply as needed)
Mustard,Loamy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing (apply as needed)","Water at branching, flowering, pod formation"
Sunflower,Sandy loam,Rabi,Maharashtra,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Irrigate at seedling, flowering, seed filling - follow local extension recommendations"
Potato,Sandy loam,Rabi,UP,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Water at stolon formation, tuber bulking"
Onion,Loamy,Rabi,Maharashtra,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash,"Irrigate every 10–12 days, critical at bulb formation (apply as needed)"
Tomato,Loamy,Rabi,Andhra Pradesh,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits - follow local extension recommendations",Irrigate every 6–8 days (apply as needed)
Brinjal,Loamy,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Irrigate every 7–10 days - follow local extension recommendations
Cabbage,Sandy loam,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Irrigate every 10–12 days
Cauliflower,Loamy,Rabi,Bihar,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash - follow local extension recommendations",Irrigate every 8–10 days (apply as needed)
Chilli,Sandy loam,Kharif,Maharashtra,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Water every 7–10 days
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,UP,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS (apply as needed)",Irrigate every 7–10 days (apply as needed)
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days (apply as needed)
Lentil,Loamy,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal","Usually rainfed, one irrigation at flowering"
Gram (Chickpea),Loamy,Rabi,Madhya Pradesh,"Pulse crop, drought tolerant",100-120,"Rhizobium seed treatment, DAP basal - follow local extension recommendations",One irrigation at pod formation - follow local extension recommendations
Turmeric,Alluvial,Kharif,Telangana,"Spice crop, rhizome",180-210,"FYM basal, Nitrogen splits (apply as needed)",Water every 10–15 days
Ginger,Alluvial,Kharif,Karnataka,"Spice crop, rhizome",180-200,"FYM basal, Nitrogen splits (apply as needed)",Irrigate every 7–10 days
Black Pepper,Laterite,Perennial,Karnataka,"Spice vine, grows on supports",150-180,"Organic manure, Potash basal",Water every 10–12 days
Cardamom,Forest soil,Perennial,Kerala,"Spice crop, shade loving",200-250,"Organic manure, Nitrogen basal",Regular irrigation in dry months (apply as needed)
Banana,Loamy,Annual,Gujarat,"Fruit crop, tropical climate",300-365,"FYM basal, Nitrogen & Potash splits (apply as needed)",Irrigate every 7–10 days (apply as needed)
Mango,Alluvial,Perennial,Bihar,"Fruit crop, tropical to subtropical",365+,"FYM, minimal fertilizers after fruit set - follow local extension recommendations","Water young plants, flowering, fruiting"
Papaya,Loamy,Annual,Maharashtra,"Fruit crop, fast growing",180-240,Nitrogen & Potash regular application,Irrigate every 7–10 days
Guava,Loamy,Perennial,UP,"Fruit crop, hardy",365+,"FYM basal, Nitrogen annual","Water young plants, flowering, fruiting"
Apple,Sandy loam,Rabi,Uttarakhand,"Fruit crop, cool climate",250-300,"FYM basal, Nitrogen & Potash splits",Irrigate during fruit set and dry periods (apply as needed)
Grapes,Loamy,Annual,Maharashtra,"Fruit crop, vineyard",150-180,"Nitrogen, Potash basal",Irrigate every 7–10 days - follow local extension recommendations
Pineapple,Laterite,Annual,Kerala,"Fruit crop, tropical climate",210-240,"Organic manure, Nitrogen basal",Irrigate every 10–15 days
Watermelon,Loamy,Kharif,Rajasthan,"Fruit crop, hot dry climate",80-100,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Irrigate weekly until fruiting - follow local extension recommendations
Muskmelon,Loamy,Summer,UP,"Fruit crop, warm climate",70-90,"Nitrogen basal, Potash at fruit set - follow local extension recommendations",Water at 7–10 day intervals
Pomegranate,Sandy loam,Perennial,Maharashtra,"Fruit crop, hardy and drought tolerant",365+,"FYM basal, Potash annual (apply as needed)",Irrigate at flowering and fruiting (apply as needed)
Coconut,Coastal soil,Perennial,Kerala,"Nut crop, coastal regions",365+,"Organic manure, Potash annual",Irrigate every 15–20 days (apply as needed)
Tea,Loamy,Perennial,Kerala,"Plantation crop, acidic soils",365+,Nitrogen & Potash regular - follow local extension recommendations,Irrigate in dry months
Coffee,Loamy,Perennial,Kerala,"Plantation crop, shade loving",365+,"Organic manure, Nitrogen basal",Irrigate in dry season - follow local extension recommendations
Rubber,Laterite,Perennial,Kerala,"Plantation crop, latex",365+,"Organic manure, minimal fertilizers - follow local extension recommendations",Irrigate in dry season (apply as needed)
Tobacco,Sandy loam,Rabi,Gujarat,"Commercial crop, requires warm climate",120-150,"Nitrogen basal, Potash top dressing (apply as needed)",Irrigate every 7–10 days - follow local extension recommendations
Jute,Sandy loam,Kharif,West Bengal,"Fiber crop, needs humid climate",100-120,Nitrogen & Potash basal (apply as needed),Water if rainfall is insufficient
Cotton Hybrid,Black soil,Kharif,Gujarat,"Hybrid cotton, higher yield",160-200,"Nitrogen split, Potash at flowering - follow local extension recommendations",Irrigate at boll formation (apply as needed)
Sesame,Sandy loam,Kharif,UP,"Oilseed crop, drought tolerant",80-100,"Minimal fertilizers, Nitrogen basal","Usually rainfed, water at flowering"
Castor,Black soil,Kharif,Gujarat,"Oilseed crop, hardy",120-150,Nitrogen & Potash basal - follow local extension recommendations,Irrigate at flowering and capsule formation (apply as needed)
Safflower,Loamy,Rabi,Maharashtra,"Oilseed crop, cool season",110-130,"Nitrogen basal, Potash at flowering (apply as needed)","Usually rainfed, irrigate at flowering (apply as needed)"
Linseed,Loamy,Rabi,Madhya Pradesh,"Oilseed crop, cool climate",100-120,Nitrogen & Potash basal,Irrigate once at flowering - follow local extension recommendations
Peas,Sandy loam,Rabi,Bihar,"Vegetable/pulse, cool climate",90-120,"DAP basal, minimal Nitrogen",Irrigate at flowering and pod filling
Rice,Alluvial,Kharif,Odisha,"Needs high rainfall, grown in waterlogged fields",120-150,"Nitrogen-rich fertilizers (Urea, DAP) at tillering stage",Irrigate every 7–10 days - follow local extension recommendations
Wheat,Alluvial,Rabi,Haryana,Requires cool climate and moderate rainfall,110-140,"Urea at sowing, DAP at root initiation, Potash at grain filling","Irrigate at CRI, booting, flowering, and grain filling (apply as needed)"
Maize,Sandy loam,Rabi,Karnataka,Needs fertile well-drained soil,90-120,"Nitrogen at sowing, Urea at knee-high, DAP at tasseling","Water at knee-high, tasseling, grain filling"
Sugarcane,Loamy,Annual,Tamil Nadu,"Long duration crop, high water requirement",270-360,"Nitrogen & Potash split doses, Phosphate basal (apply as needed)","Irrigate every 7–12 days in summer, 15–20 in winter"
Cotton,Black soil,Kharif,Telangana,"Prefers dry climate, moderate irrigation",150-180,"Nitrogen split doses, Potash at flowering",Irrigate every 7–12 days during boll formation (apply as needed)
Pulses (Tur/Arhar),Black soil,Kharif,Madhya Pradesh,"Needs less water, improves soil fertility",100-120,"Rhizobium seed treatment, minimal nitrogen",One irrigation at flowering if dry - follow local extension recommendations
Groundnut,Red soil,Rabi,Andhra Pradesh,"Prefers light soil, good drainage",100-130,"Gypsum at pegging, Nitrogen & Potash basal (apply as needed)",Water at pegging and pod development
Bajra (Pearl Millet),Sandy,Kharif,Karnataka,"Drought tolerant, grown in arid zones",80-100,"Nitrogen at sowing, minimal inputs (apply as needed)",Usually rainfed; 1–2 irrigations if dry
Jowar (Sorghum),Sandy loam,Kharif,Telangana,"Dual-purpose crop, food & fodder",100-120,Nitrogen & DAP basal - follow local extension recommendations,Rainfed; irrigate at booting and grain filling
Barley,Loamy,Rabi,Punjab,"Tolerates saline soil, grows in dry cool climate",90-120,Urea at sowing and tillering,"2–3 irrigations: tillering, booting, grain filling"
Soybean,Loamy,Kharif,Maharashtra,"Improves soil nitrogen, legume crop",90-110,"Rhizobium inoculation, DAP basal",Water at pod initiation and seed filling
Mustard,Sandy,Rabi,Rajasthan,"Oilseed crop, needs cool climate",90-120,"DAP at sowing, Nitrogen top dressing","Irrigate at branching, flowering, pod formation (apply as needed)"
Sunflower,Sandy loam,Kharif,Andhra Pradesh,"Oilseed crop, sunlight-loving",80-100,"DAP basal, Nitrogen at flowering","Water at seedling, flowering, seed filling"
Potato,Alluvial,Rabi,Bihar,"Tuber crop, cool season",90-110,"Nitrogen, Potash, Phosphate in split doses","Irrigate at stolon formation, tuber bulking"
Onion,Loamy,Rabi,Karnataka,"Bulb crop, needs drainage",110-130,FYM + Nitrogen + Potash - follow local extension recommendations,"Water every 10–12 days, critical at bulb formation"
Tomato,Sandy loam,Rabi,Karnataka,"Vegetable, prefers well-drained soil",100-130,"FYM + NPK basal, Nitrogen splits (apply as needed)",Irrigate every 6–8 days - follow local extension recommendations
Brinjal,Loamy,Annual,Karnataka,"Vegetable crop, needs warm climate",110-150,"FYM + NPK basal, Nitrogen splits",Water every 7–10 days
Cabbage,Sandy loam,Rabi,Himachal Pradesh,Cool-season leafy vegetable,90-120,"Nitrogen top dressing, Potash basal (apply as needed)",Irrigate every 10–12 days
Cauliflower,Sandy loam,Rabi,Punjab,"Cool-season vegetable, short duration",80-110,"Nitrogen + DAP basal, Potash",Irrigate every 8–10 days (apply as needed)
Chilli,Loamy,Rabi,Andhra Pradesh,"Spice crop, needs warm climate",120-150,"NPK basal, Nitrogen at flowering",Irrigate every 7–10 days
Carrot,Loamy,Rabi,UP,"Root vegetable, cool season",90-120,"FYM basal, Nitrogen at 30 DAS",Irrigate every 12–15 days - follow local extension recommendations
Radish,Sandy loam,Rabi,Haryana,"Root vegetable, fast growing",50-70,"FYM basal, Nitrogen at 20 DAS",Irrigate every 7–10 days
Spinach,Sandy loam,All seasons,All India,"Leafy vegetable, short duration",30-50,"Minimal fertilizers, Nitrogen basal - follow local extension recommendations",Irrigate every 5–7 days (apply as needed)
Lentil,Sandy loam,Rabi,Madhya Pradesh,"Pulse crop, cool season",100-120,"Rhizobium inoculation, DAP basal","Usually rainfed, one irrigation at flowering"
